"filename", "language", "Markdown", "Shell Script", "YAML", "Ignore", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "HTML", "Properties", "Prisma", "GraphQL", "SQL", "comment", "blank", "total"
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscription.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscriptions.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscriptions.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscriptions.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 7, 73
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscriptions.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\user-subscriptions\user-subscriptions.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\ELIV\PROJECTS\eliv-api\api\src\users\user.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 9, 31
"d:\ELIV\PROJECTS\eliv-api\api\src\users\users.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\ELIV\PROJECTS\eliv-api\api\src\users\users.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\users\users.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
